Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
EVA,0.0,0.0,0.0
EVRG,0.0,0.0,0.0
EWCZ,0.0,0.0,0.0
EXC,0.0,0.0,0.0
EXP,0.0,0.0,0.0
F,0.0,0.0,0.0
FANG,0.0,0.0,0.0
FAST,0.0,0.0,0.0
FAT,0.0,0.0,0.0
FATBB,0.0109783641319759,0.012379836150405,0.0109783641319759
FATBP,0.0,0.0,0.0
FBIN,0.0,0.0,0.0
FBIOP,0.0,0.0,0.0
FCFS,0.0,0.0,0.0
FCPT,0.0,0.0,0.0
FCX,0.0,0.0,0.0
FDP,0.0,0.0,0.0
FDX,0.0,0.0,0.0
FE,0.0,0.0,0.0
FELE,0.0,0.0,0.0
FERG,0.0109228445745023,0.015718809474566,0.0109228445745023
FF,0.0,0.0,0.0
FIX,0.0,0.0,0.0
FL,0.0,0.0,0.0
FLNG,0.0,0.0,0.0
FLO,0.0,0.0,0.0
FLS,0.0,0.0,0.0
FLXS,0.0079138459014884,0.0086407541682152,0.0079138459014884
FMC,0.0,0.0,0.0
FMS,0.0,0.0,0.0
FMX,0.0,0.0,0.0
FORTY,0.0095573170141359,0.0,0.0095573170141359
FPI,0.0,0.0,0.0
FR,0.0,0.0,0.0
FRO,0.0,0.0,0.0
FSS,0.0,0.0,0.0
FSV,0.0,0.0,0.0
FTAI,0.0,0.0,0.0
FTAIN,0.0,0.0,0.0
FTAIO,0.0,0.0,0.0
FTAIP,0.0,0.0,0.0
FTI,0.0,0.0,0.0
FTS,0.0,0.0,0.0
FTV,0.0,0.0,0.0
FUL,0.0,0.0,0.0
FUN,0.0,0.0,0.0
GATX,0.0,0.0,0.0
GBX,0.0,0.0,0.0
GD,0.0,0.0,0.0
GE,0.0,0.0,0.0
GEF,0.0,0.0,0.0
GEF-B,0.0,0.0,0.0
GEL,0.0,0.0,0.0
GES,0.0,0.0,0.0
GFF,0.0,0.0,0.0
GFI,0.0,0.0,0.0
GFL,0.0,0.0,0.0
GGB,0.0,0.0,0.0
GGG,0.0,0.0,0.0
GHC,0.0,0.0,0.0
GHG,0.0,0.0,0.0
GHM,0.0,0.0,0.0
GIC,0.0,0.0,0.0
GIL,0.0,0.0,0.0
GILD,0.0,0.0,0.0
GILT,0.0,0.0,0.0
GIS,0.0,0.0,0.0
GLOG-PA,0.0,0.0,0.0
GLP,0.0,0.0,0.0
GLP-PA,0.0,0.0,0.0
GLP-PB,0.2147546567715071,0.2037370192081127,0.2147546567715071
GLT,0.0,0.0,0.0
GLW,0.0,0.0,0.0
GM,0.0,0.0,0.0
GNE,0.0,0.0,0.0
GNK,0.0,0.0,0.0
GOGL,0.0,0.0,0.0
GOLD,0.0,0.0,0.0
GOLF,0.0,0.0,0.0
GOOD,0.0,0.0,0.0
GOODN,0.0,0.0,0.0
GOODO,0.0,0.0,0.0
GPC,0.0,0.0,0.0
GPI,0.0,0.0,0.0
GPK,0.0,0.0,0.0
GPRK,0.0,0.0,0.0
GPS,0.0,0.0,0.0
GRC,0.0,0.0,0.0
GRFS,0.0,0.0,0.0
GRIN,0.0,0.0,0.0
GSK,0.0,0.0,0.0
GSL,0.0,0.0,0.0
GSL-PB,0.0,0.0,0.0
GT,0.0,0.0,0.0
GTY,0.0,0.0,0.0
GVA,0.0,0.0,0.0
GWW,0.0,0.0,0.0
GYRE,0.0050104807720465,0.0055523818766335,0.0050104807720465
H,0.0,0.0,0.0
HA,0.0,0.0,0.0
HAL,0.0,0.0,0.0
HAS,0.0,0.0,0.0
HAYN,0.0,0.0,0.0
HBB,0.0,0.0,0.0
HBI,0.0,0.0,0.0
HBM,0.0,0.0,0.0
HCA,0.0,0.0,0.0
HCC,0.0,0.0,0.0
HCSG,0.0,0.0,0.0
HD,0.0,0.0,0.0
HEES,0.0,0.0,0.0
HEI,0.0,0.0,0.0
HEI-A,0.0,0.0,0.0
HES,0.0,0.0,0.0
HI,0.0,0.0,0.0
HIBB,0.0,0.0,0.0
HII,0.0,0.0,0.0
HIMX,0.0,0.0,0.0
HL,0.0,0.0,0.0
HLIO,0.0,0.0,0.0
HMC,0.0,0.0,0.0
HMY,0.0,0.0,0.0
HNI,0.0,0.0,0.0
HNRG,0.0,0.0,0.0
HOFT,0.0,0.0,0.0
HOG,0.0,0.0,0.0
HOLI,0.0,0.0,0.0
HON,0.0,0.0,0.0
HOVNP,0.0,0.0,0.0
HP,0.0,0.0,0.0
HPE,0.0,0.0,0.0
HPK,0.0,0.0,0.0
HPP,0.0,0.0,0.0
HPP-PC,0.0,0.0,0.0
HPQ,0.0,0.0,0.0
HRL,0.0,0.0,0.0
HSY,0.0,0.0,0.0
HTHT,0.0,0.0,0.0
HUBB,0.0,0.0,0.0
HUN,0.0,0.0,0.0
HURC,0.0,0.0,0.0
HWKN,0.0,0.0,0.0
HWM,0.0,0.0,0.0
HXL,0.0,0.0,0.0
HY,0.0,0.0,0.0
IBM,0.0,0.0,0.0
IBP,0.0,0.0,0.0
ICL,0.0,0.0,0.0
IDA,0.0,0.0,0.0
IEP,0.0,0.0,0.0
IEX,0.0,0.0,0.0
IFF,0.0,0.0,0.0
IGT,0.0,0.0,0.0
IHG,0.0,0.0,0.0
IIIN,0.0,0.0,0.0
IMKTA,0.0,0.0,0.0
IMOS,0.0,0.0,0.0
IMPPP,0.0234794439684055,0.0236809485956359,0.0234794439684055
INGR,0.0,0.0,0.0
INSW,0.0,0.0,0.0
INTC,0.0,0.0,0.0
IOSP,0.0,0.0,0.0
IP,0.0,0.0,0.0
IPAR,0.0,0.0,0.0
IR,0.0,0.0,0.0
IRS,0.0,0.0,0.0
ISSC,0.0,0.0,0.0
ITRN,0.0,0.0,0.0
ITT,0.0,0.0,0.0
ITW,0.0,0.0,0.0
JACK,0.0,0.0,0.0
JBHT,0.0,0.0,0.0
JBL,0.0,0.0,0.0
JBSS,0.0,0.0,0.0
JBT,0.0,0.0,0.0
JCI,0.0,0.0,0.0
JD,0.0,0.0,0.0
JHX,0.0,0.0,0.0
JJSF,0.0,0.0,0.0
JNJ,0.0,0.0,0.0
JNPR,0.0,0.0,0.0
JOAN,0.0,0.0,0.0
JOE,0.0,0.0,0.0
JOUT,0.0,0.0,0.0
JRSH,0.0,0.0,0.0
JVA,0.0,0.0,0.0
JWN,0.0,0.0,0.0
K,0.0,0.0,0.0
KAI,0.0,0.0,0.0
KALU,0.0,0.0,0.0
KAMN,0.0,0.0,0.0
KARO,0.0,0.0,0.0
KDP,0.0,0.0,0.0
KEN,0.0,0.0,0.0
KGC,0.0,0.0,0.0
KHC,0.0,0.0,0.0
KLAC,0.0,0.0,0.0
KLIC,0.0,0.0,0.0
KMB,0.0,0.0,0.0
KMT,0.0,0.0,0.0
KNOP,0.0,0.0,0.0
KO,0.0,0.0,0.0
KOF,0.0,0.0,0.0
KOP,0.0,0.0,0.0
KOS,0.0,0.0,0.0
KR,0.0,0.0,0.0
KRO,0.0,0.0,0.0
KRT,0.0082198586513347,0.0,0.0082198586513347
KSS,0.0,0.0,0.0
KTB,0.0,0.0,0.0
