Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
MTDR,0,4,0
MTN,0,6,0
MTRN,4,5,5
MTX,4,5,5
MU,0,4,0
MUR,4,5,5
MUSA,0,4,0
MWA,4,5,5
MYE,4,5,5
NAT,4,5,5
NATH,4,5,5
NATR,2,4,2
NBR,2,4,2
NC,4,5,5
NDSN,4,5,5
NEE,4,4,5
NEM,4,4,5
NEP,4,5,5
NEU,4,5,5
NEXA,2,4,2
NFE,4,4,5
NFG,4,4,5
NGG,0,6,0
NGL,2,4,2
NGL-PB,2,4,2
NGL-PC,2,4,2
NGVC,4,5,5
NI,4,5,5
NI-PB,4,4,5
NJR,4,5,5
NL,4,5,5
NMM,4,5,5
NOA,4,5,5
NOC,4,5,5
NOK,2,4,2
NOV,0,4,0
NPO,4,5,5
NRG,4,5,5
NS,4,4,5
NS-PA,4,5,5
NS-PB,4,5,5
NS-PC,4,5,5
NSC,4,5,5
NTAP,4,5,5
NTIC,0,4,0
NTR,4,5,5
NUE,4,4,5
NVDA,4,5,5
NVO,0,4,0
NVS,2,6,2
NVT,4,5,5
NWE,4,5,5
NWL,4,5,5
NWN,4,5,5
NX,4,5,5
NXPI,4,5,5
O,1,5,1
OC,4,5,5
ODC,4,5,5
ODP,2,4,2
OEC,0,4,0
OFLX,4,5,5
OGE,4,4,5
OGN,0,4,0
OGS,4,5,5
OI,2,4,2
OKE,4,5,5
OLN,4,5,5
OLP,4,4,5
OMC,4,5,5
OMI,0,4,0
ONEW,2,4,2
OPI,4,5,5
OR,4,5,5
ORA,4,5,5
ORAN,0,4,0
OSK,4,5,5
OSW,2,4,2
OTTR,4,5,5
OXM,4,5,5
OXY,4,5,5
PAA,4,5,5
PAAS,4,5,5
PAG,4,4,5
PAGP,4,5,5
PAHC,4,5,5
PANL,0,4,0
PARA,4,4,5
PARAA,4,4,5
PARAP,0,6,0
PATK,4,5,5
PAVS,2,4,2
PBA,1,5,1
PBF,2,4,2
PBI,4,5,5
PBR,0,6,0
PCH,4,5,5
PDCO,4,5,5
PECO,4,5,5
PEG,4,5,5
PEGY,2,0,2
PEP,4,5,5
PFE,4,5,5
PG,4,5,5
PH,4,5,5
PHG,2,4,2
PHI,0,4,0
PHM,4,5,5
PII,4,5,5
PINC,4,4,5
PKG,4,5,5
PKOH,4,4,5
PLAY,2,4,2
PLOW,4,5,5
PLPC,4,4,5
PM,4,5,5
PNM,4,5,5
PNR,4,5,5
