Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
WILC,63657000.0,503758000.0,622140333.3333334,547985666.6666666,44227666.666666664,182715666.66666666,3553666.6666666665,572139666.6666666,572139666.6666666,324340666.6666667,468877333.3333333,62629333.333333336,56496666.666666664,493333.3333333333,142255666.66666666,46291333.333333336,0.6315,4.0
WIMI,4454456.666666667,620422920.0,1312597249.3333333,731435898.6666666,111012978.66666667,559902272.3333334,78513772.66666667,1104258660.3333333,1180648427.0,606683040.6666666,794032694.6666666,-239279688.33333334,-254858994.33333334,4381963.333333333,187349654.0,-248290713.33333334,,
WINA,400800.0,7285233.333333333,29565966.666666668,17937500.0,10652266.666666666,10560533.333333334,52945833.333333336,-37364733.333333336,10222733.333333334,4738266.666666667,73512500.0,49229033.333333336,48429833.333333336,2040433.3333333333,70491333.33333333,36389366.666666664,1.5374999999999996,12.0
WING,423000.0,72291666.66666667,294986000.0,123147000.0,50855333.333333336,91312333.33333333,553728000.0,-347232000.0,204125666.66666666,151260333.33333334,296278000.0,78174000.0,69387333.33333333,17665333.333333332,145017666.66666666,39637000.0,0.8338461538461537,13.0
WINT,,11825000.0,75209333.33333333,16328666.666666666,4503666.666666667,15150000.0,2984666.6666666665,40481666.666666664,41588666.666666664,,0.0,-49859666.666666664,-50157333.333333336,97333.33333333333,,-46470000.0,,
WINV,,121898.5,68634202.0,633714.5,511816.0,298076.5,125000.0,64097386.0,64159886.0,,0.0,-1321875.0,-1321875.0,,,-226632.0,,
WINVW,,121898.5,68634202.0,633714.5,511816.0,298076.5,125000.0,64097386.0,64159886.0,,0.0,-1321875.0,-1321875.0,,,-226632.0,,
WIRE,115441666.66666667,866657000.0,1505240666.6666667,997274666.6666666,130617666.66666667,450890000.0,,1331828000.0,1331828000.0,1570840666.6666667,2295741333.3333335,593570666.6666666,570577666.6666666,,724900666.6666666,445110000.0,0.019999999999999997,12.0
WISA,4852666.666666667,10837000.0,14047333.333333334,13811333.333333334,2974333.3333333335,7806666.666666667,491000.0,7431333.333333333,7667000.0,3208000.0,4103333.3333333335,-12699333.333333334,-12788333.333333334,768000.0,895333.3333333334,-13558666.666666666,,
WISH,,741666666.6666666,1493000000.0,1438333333.3333333,696666666.6666666,1160000000.0,22333333.333333332,774000000.0,774000000.0,776333333.3333334,1732333333.3333333,-456333333.3333333,-465333333.3333333,,956000000.0,-496666666.6666667,,
WIT,1421000000.0,303009000000.0,909225333333.3334,554596333333.3334,251587333333.33334,139376000000.0,125894333333.33333,589570333333.3334,693927000000.0,464186666666.6667,673532000000.0,168994000000.0,142517666666.66666,4919666666.666667,201811333333.33334,109118333333.33333,0.027000000000000003,4.0
WIW,,,1207464021.0,,,3148215.0,393537500.0,799995815.6666666,1193533315.6666667,,11378401.666666666,,,3098720.6666666665,,9233099.333333334,0.06722222222222224,36.0
WIX,,347488666.6666667,1903893333.3333333,1212911333.3333333,865422666.6666666,288299666.6666667,1031779666.6666666,56554666.666666664,951755000.0,442608333.3333333,1213896666.6666667,-191112666.66666666,-210754333.33333334,13488333.333333334,771288333.3333334,-236313000.0,,
WK,,185011000.0,771128333.3333334,630088666.6666666,445077666.6666667,287804666.6666667,346837333.3333333,47746333.333333336,357215666.6666667,107965000.0,444251333.3333333,-41005333.333333336,-47589333.333333336,11340333.333333334,336286333.3333333,-59025000.0,,
WKC,534033333.3333333,835933333.3333334,6202433333.333333,3965700000.0,3129766666.6666665,536466666.6666667,626366666.6666666,1935633333.3333333,2562000000.0,36003133333.333336,36912800000.0,298200000.0,206666666.66666666,71066666.66666667,909700000.0,99133333.33333333,0.1166666666666667,12.0
WKEY,4231333.333333333,15263333.333333334,63727333.333333336,38116000.0,22852666.666666668,24852333.333333332,14486333.333333334,26141333.333333332,37919333.333333336,11076000.0,18746333.333333332,-19462666.666666668,-20525333.333333332,1275333.3333333333,7670333.333333333,-25491333.333333332,,
WKHS,11461507.0,179205261.0,347807911.3333333,215357798.0,36152537.0,115913840.0,78498620.33333333,226161346.0,300766679.3333333,61077175.333333336,1854556.3333333333,-141531002.66666666,-143085428.0,6533136.0,-59222619.0,-149614177.33333334,,
WKME,,165921666.66666666,363037000.0,299894000.0,133972333.33333333,144440666.66666666,4421000.0,105175000.0,105175000.0,46566333.333333336,195538333.33333334,-71143666.66666667,-76930666.66666667,,148972000.0,-79214000.0,,
WKSP,629649.0,16024101.333333334,23653460.333333332,18016292.0,1992190.6666666667,14628295.333333334,2729142.3333333335,19489350.333333332,21605192.666666668,235555.0,255465.33333333334,-6622941.0,-6816414.333333333,389958.6666666667,19910.333333333332,-7206373.0,,
WKSPW,629649.0,16024101.333333334,23653460.333333332,18016292.0,1992190.6666666667,14628295.333333334,2729142.3333333335,19489350.333333332,21605192.666666668,235555.0,255465.33333333334,-6622941.0,-6816414.333333333,389958.6666666667,19910.333333333332,-7206373.0,,
WLDN,,39263666.666666664,402373333.3333333,159612333.33333334,120348666.66666667,16144000.0,125590000.0,176629000.0,283694000.0,255009000.0,391291000.0,8039333.333333333,-9753333.333333334,4755000.0,136282000.0,-10453666.666666666,,
WLDS,12333.333333333334,2561333.3333333335,4416666.666666667,4313666.666666667,1752333.3333333333,4040666.6666666665,1071333.3333333333,2633000.0,3650333.3333333335,9666.666666666666,81333.33333333333,-3414000.0,-3427666.6666666665,102000.0,71666.66666666667,-3456000.0,,
WLDSW,12333.333333333334,2561333.3333333335,4416666.666666667,4313666.666666667,1752333.3333333333,4040666.6666666665,1071333.3333333333,2633000.0,3650333.3333333335,9666.666666666666,81333.33333333333,-3414000.0,-3427666.6666666665,102000.0,71666.66666666667,-3456000.0,,
WLFC,49656666.666666664,253081666.66666666,2467697333.3333335,298692666.6666667,45611000.0,23005000.0,1777098333.3333333,381529333.3333333,2158627666.6666665,108609000.0,273120000.0,169108666.66666666,78007000.0,65917333.333333336,182998000.0,6179666.666666667,,
